Fecha,Temperatura media Cº
28/9/2021,17.2
29/9/2021,14.7
30/9/2021,12.6
1/10/2021,13.4
2/10/2021,12.9
3/10/2021,12.9
4/10/2021,14.4
5/10/2021,15.2
6/10/2021,15.7
7/10/2021,15.4
8/10/2021,12
9/10/2021,12.8
10/10/2021,14
11/10/2021,16.7
12/10/2021,13.2
13/10/2021,14
14/10/2021,11.5
15/10/2021,12
16/10/2021,14
17/10/2021,15.9
18/10/2021,18.1
19/10/2021,19.5
20/10/2021,13.3
21/10/2021,14.1
22/10/2021,15.6
23/10/2021,14.4
24/10/2021,17.6
25/10/2021,20.9
26/10/2021,20.5
27/10/2021,18.7
28/10/2021,21.1
29/10/2021,22.3
30/10/2021,22.3
31/10/2021,19.5
1/11/2021,15.9
2/11/2021,18.6
3/11/2021,16.3
4/11/2021,15.3
5/11/2021,17
6/11/2021,15.9
7/11/2021,17.3
8/11/2021,20.1
9/11/2021,19.3
10/11/2021,16.2
11/11/2021,18
12/11/2021,17.6
13/11/2021,17.7
14/11/2021,18.1
15/11/2021,18.4
16/11/2021,18.9
17/11/2021,19.5
18/11/2021,20.3
19/11/2021,19.8
20/11/2021,19.6
21/11/2021,21.6
22/11/2021,22.9
23/11/2021,20.5
24/11/2021,16.7
25/11/2021,20.4
26/11/2021,20.7
27/11/2021,16.8
28/11/2021,19.1
29/11/2021,20.4
30/11/2021,17.4
1/12/2021,16.4
2/12/2021,18.8
3/12/2021,19.2
4/12/2021,21
5/12/2021,23.7
6/12/2021,20.3
7/12/2021,18.1
8/12/2021,19.4
9/12/2021,20.7
10/12/2021,18.4
11/12/2021,16.5
12/12/2021,16.8
13/12/2021,17.8
14/12/2021,18.2
15/12/2021,20.9
16/12/2021,19.8
17/12/2021,18.7
18/12/2021,21.6
19/12/2021,23.4
20/12/2021,23.4
21/12/2021,22.6
22/12/2021,22.2
23/12/2021,20
24/12/2021,22.4
25/12/2021,24.3
26/12/2021,24.5
27/12/2021,22.8
28/12/2021,22
29/12/2021,17.7
30/12/2021,20.9
31/12/2021,22.2
